"Adam Turner",,,,
"Andrea Gribben",,,,
"Billy Webb",,,,
"Brian Feeney",,,,
"Charles James Dempsey",,,,
"David O'Leary",,,,
"David Overend",,,,
"David Smyth",,,,
"Fra Hughes",,,,
"Francis McGlade",,,,
"Gemma Weir",,,,
"Jason O'Neill",,,,
"Joe Austin",,,,
"John Sharkey",,,,
"Lynda Gilby","Q98247426","2005 United Kingdom general election","Belfast East","Make Politicians History"
"Malachai O'Hara",,,,
"Marcella Delaney",,,,
"Margaret Redpath",,,,
"Marjorie Hawkins",,,,
"Martin McAuley",,,,
"Nuala McAllister","Q31437195","2019 United Kingdom general election","Belfast North","Alliance Party of Northern Ireland"
"Paddy McManus",,,,
"Paul Treanor",,,,
"Sam Nelson",,,,
"Sandy Scott",,,,
"Thomas Donnelly",,,,
"Thomas Harrison",,,,
"Tom Campbell",,,,
"William Gault",,,,
